pose,Angulo,Desviacion_estandar,Parte
1,168.1534465613823,1.948314311648294,right_arm_angles
1,177.15127525421195,1.4915004636320093,right_torso_angles
1,174.76252393318742,1.6993190534971692,right_leg_angles
2,173.16189051449237,3.2606131571236543,right_arm_angles
2,52.17327617258403,7.249503599186873,right_torso_angles
2,43.82241207001563,4.683842221626868,right_leg_angles
3,169.9061210502567,3.8001902602957665,right_arm_angles
3,175.1980982909632,0.8350023861264512,right_torso_angles
3,174.0797168242722,2.077940065805724,right_leg_angles
